lat,lng,elev
-36.885482,174.749520,60.5
-36.885480,174.749520,60.5
-36.885473,174.749487,60.6
-36.885397,174.749144,60.3
-36.885360,174.748980,60.3
-36.885323,174.748811,60.0
-36.885150,174.748030,55.0
-36.884871,174.748123,55.2
-36.884859,174.748127,55.0
-36.884735,174.748168,55.3
-36.884599,174.748214,55.5
-36.884550,174.748230,55.5
-36.884463,174.748261,55.6
-36.884396,174.748285,55.6
-36.884327,174.748309,55.8
-36.884240,174.748340,55.9
-36.884056,174.748399,56.1
-36.883921,174.748442,56.0
-36.883920,174.748442,56.0
-36.883512,174.748573,55.8
-36.883490,174.748580,55.8
-36.883432,174.748599,55.5
-36.883376,174.748618,55.7
-36.883241,174.748663,55.7
-36.882969,174.748754,55.9
-36.882959,174.748757,55.8
-36.882860,174.748790,56.2
-36.882580,174.748890,57.0
-36.882561,174.748896,57.0
-36.882506,174.748915,57.0
-36.882425,174.748942,57.2
-36.882319,174.748977,57.2
-36.882033,174.749072,57.0
-36.882018,174.749077,57.0
-36.882010,174.749080,57.0
-36.881524,174.749229,56.2
-36.881474,174.749244,56.3
-36.881390,174.749270,56.2
-36.881203,174.749317,56.0
-36.881150,174.749330,56.0
-36.881067,174.749363,55.9
-36.881011,174.749386,55.7
-36.880931,174.749418,55.8
-36.880900,174.749430,55.7
-36.880659,174.749518,55.4
-36.880600,174.749540,55.3
-36.880589,174.749544,55.1
-36.880523,174.749570,55.1
-36.880387,174.749622,54.8
-36.880340,174.749640,54.6
-36.880251,174.749667,54.3
-36.880138,174.749702,53.8
-36.880116,174.749709,53.8
-36.879708,174.749834,52.1
-36.879628,174.749859,51.7
-36.879572,174.749876,51.7
-36.879436,174.749918,51.4
-36.879430,174.749920,51.3
-36.879301,174.749963,51.1
-36.879280,174.749970,51.0
-36.879165,174.750009,50.8
-36.879144,174.750016,50.4
-36.879029,174.750055,50.5
-36.878757,174.750148,49.8
-36.878750,174.750150,49.8
-36.878673,174.750174,49.5
-36.878621,174.750190,49.5
-36.878164,174.750330,49.1
-36.878100,174.750350,49.2
-36.877534,174.750546,49.4
-36.877290,174.750630,49.4
-36.877263,174.750639,49.4
-36.877239,174.750646,49.2
-36.877076,174.750697,49.3
-36.876991,174.750723,49.3
-36.876719,174.750808,49.6
-36.876448,174.750893,50.3
-36.876312,174.750936,50.8
-36.876235,174.750960,51.4
-36.876176,174.750978,51.5
-36.876040,174.751021,52.1
-36.876010,174.751030,52.2
-36.876029,174.751123,52.3
-36.876038,174.751164,52.4
-36.876065,174.751292,52.2
-36.876164,174.751770,53.2
-36.876171,174.751800,52.9
-36.876291,174.752375,54.3
-36.876300,174.752420,54.4
-36.876311,174.752476,54.3
-36.876416,174.753030,55.9
-36.876420,174.753050,56.0
-36.876520,174.753440,57.1
-36.876670,174.754154,59.0
-36.876673,174.754167,59.0
-36.876690,174.754250,59.3
-36.876706,174.754336,59.3
-36.876770,174.754674,60.0
-36.876795,174.754808,60.9
-36.876802,174.754843,61.1
-36.876830,174.754990,62.2
-36.876793,174.755001,62.3
-36.876760,174.755011,62.6
-36.876657,174.755041,62.9
-36.876249,174.755161,64.7
-36.876230,174.755167,64.8
-36.875710,174.755320,65.3
-36.875706,174.755321,65.3
-36.875701,174.755323,65.2
-36.875299,174.755451,65.8
-36.875209,174.755480,66.1
-36.875163,174.755495,66.2
-36.874891,174.755581,67.4
-36.874770,174.755620,68.0
-36.874767,174.755638,68.2
-36.874760,174.755680,68.3
-36.874760,174.755690,68.4
-36.874754,174.755696,68.4
-36.874750,174.755700,68.5
-36.874740,174.755710,68.5
-36.874730,174.755720,68.6
