#,latitude,longitude,type,dist
0,-36.885482,174.749520,HOME,0.0
1,-36.885480,174.749520,ROUTED,0.2
2,-36.885150,174.748030,PATH,137.9
3,-36.884550,174.748230,PATH,207.0
4,-36.884240,174.748340,ROUTED,242.9
5,-36.883490,174.748580,PATH,329.0
6,-36.882860,174.748790,PATH,401.6
7,-36.882580,174.748890,PATH,434.0
8,-36.882010,174.749080,PATH,499.7
9,-36.881390,174.749270,PATH,570.8
10,-36.881150,174.749330,PATH,598.0
11,-36.880900,174.749430,PATH,627.2
12,-36.880600,174.749540,PATH,662.0
13,-36.880340,174.749640,PATH,692.3
14,-36.879430,174.749920,PATH,796.6
15,-36.879280,174.749970,PATH,813.9
16,-36.878750,174.750150,PATH,875.1
17,-36.878100,174.750350,PATH,949.6
18,-36.877290,174.750630,PATH,1043.1
19,-36.876010,174.751030,PATH,1190.0
20,-36.876300,174.752420,PATH,1317.9
21,-36.876420,174.753050,ROUTED,1375.6
22,-36.876520,174.753440,PATH,1412.1
23,-36.876690,174.754250,PATH,1486.6
24,-36.876830,174.754990,PATH,1554.4
25,-36.875710,174.755320,PATH,1682.4
26,-36.874770,174.755620,PATH,1790.4
27,-36.874760,174.755680,PATH,1795.9
28,-36.874760,174.755690,PATH,1796.8
29,-36.874750,174.755700,PATH,1798.2
30,-36.874740,174.755710,PATH,1799.6
31,-36.874730,174.755720,PATH,1801.1
32,-36.874720,174.755720,PATH,1802.2
33,-36.874710,174.755720,PATH,1803.3
34,-36.874910,174.756630,PATH,1887.3
35,-36.875190,174.757880,ROUTED,2002.9
36,-36.875180,174.757890,PATH,2004.3
37,-36.875170,174.757900,PATH,2005.8
38,-36.875160,174.757920,PATH,2007.9
39,-36.875150,174.757940,PATH,2010.0
40,-36.875150,174.757960,PATH,2011.8
41,-36.875150,174.757970,PATH,2012.6
42,-36.875160,174.757980,PATH,2014.1
43,-36.875160,174.758000,PATH,2015.9
44,-36.875180,174.758010,PATH,2018.3
45,-36.875200,174.758020,PATH,2020.6
46,-36.875220,174.758020,PATH,2022.9
47,-36.875230,174.758110,PATH,2031.0
48,-36.875390,174.759280,PATH,2136.7
49,-36.875420,174.759430,PATH,2150.4
50,-36.875450,174.759600,PATH,2165.9
51,-36.875540,174.760090,PATH,2210.7
52,-36.875540,174.760120,PATH,2213.4
53,-36.875550,174.760140,PATH,2215.5
54,-36.875540,174.760170,PATH,2218.4
55,-36.875540,174.760200,PATH,2221.0
56,-36.875530,174.760240,PATH,2224.8
57,-36.875450,174.760400,PATH,2241.6
58,-36.875140,174.760920,PATH,2299.3
59,-36.875130,174.760960,PATH,2303.1
60,-36.875120,174.760990,PATH,2306.0
61,-36.875110,174.761030,PATH,2309.7
62,-36.875110,174.761060,PATH,2312.4
63,-36.875250,174.761660,PATH,2368.0
64,-36.875140,174.761700,PATH,2380.8
65,-36.875080,174.761730,PATH,2388.0
66,-36.874980,174.761780,PATH,2399.9
67,-36.874890,174.761830,PATH,2410.9
68,-36.874750,174.761930,PATH,2428.9
